Code,Food Name,Energy_(kJ),Energy_(kcal),Water (g),Protein (g),Fat (g),Carb (g),Fibre (g),Ash (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),Selenium (mcg),VitA_RAE,VitA_RE,Retinol,BetaCaratone,Thiamin,Riboflavin,Niacin,DietaryFolatEq,FoodFolate,VitB12,VitC
15052,Yam Stew,394,94,76.7,1.5,2.4,15.3,2.5,1.6,13.0,0.7,14,46,279,347.0,0.21,0.0,34.0,67.0,0.0,404.0,0.06,0.02,0.4,15.0,15.0,0.0,5.2
15053,Githeri (stewed Maize & Beans),661,157,60.4,6.7,4.2,19.7,7.2,1.8,39.0,2.2,41,214,281,233.0,1.01,2.0,0.0,1.0,0.0,2.0,0.1,0.06,0.8,52.0,52.0,0.0,0.5
15054,"Mukimo (Maize, Beans, Potatoes & Pumpkin Leaves)",498,118,67.1,5.0,0.7,20.5,4.8,1.9,38.0,2.0,36,159,436,266.0,0.74,2.0,9.0,0.0,52.0,0.08,0.05,0.9,48.0,48.0,0.0,2.7,
15055,Githeri (Sauteed Fresh Maize and beans),773,185,55.3,6.9,7.2,17.8,10.5,2.2,41.0,2.2,43,222,308,335.0,1.32,3.0,2.0,5.0,0.0,27.0,0.12,0.08,1.0,57.0,57.0,0.0,0.8
15056,Matoke (Stewed Green Bananas & Meat),494,118,72.9,6.0,4.1,13.3,1.8,1.9,16.0,3.9,22,105,380,381.0,1.12,5.0,19.0,36.0,2.0,208.0,0.05,0.08,1.4,22.0,22.0,0.34,9.8
15057,"Mukimo (Fresh Maize, Potatoes & Pumpkin Leaves)",457,109,68.8,3.0,1.0,18.5,6.8,1.9,44.0,1.6,35,116,404,336.0,0.93,2.0,14.0,27.0,0.0,163.0,0.09,0.06,1.2,36.0,36.0,0.0,3.7
15058,Stewed Potatoes & Arrowroots,380,90,78.0,1.9,2.1,15.0,1.8,1.2,8.0,0.9,17,38,401,173.0,0.44,1.0,3.0,7.0,0.0,40.0,0.08,0.05,1.0,12.0,12.0,0.0,7.1
15059,"Mukimo wa Njahi (Black Beans, Green Bananas & Potatoes)",693,164,53.7,9.5,0.6,26.5,7.2,2.4,31.0,3.2,65,152,606,273.0,1.06,4.0,0.0,0.0,2.0,0.2,0.08,1.2,19.0,19.0,0.0,4.2,
15060,Githeri (Fresh beans and Maize),751,180,57.0,7.8,7.6,15.1,10.4,2.2,17.0,1.7,24,119,319,433.0,1.21,3.0,6.0,13.0,0.0,76.0,0.13,0.09,1.4,54.0,54.0,0.0,9.2
15061,Mashed Potato and Bananas,750,179,62.1,2.3,8.5,22.1,2.6,2.4,12.0,1.4,23,70,551,544.0,0.36,1.0,4.0,8.0,0.0,49.0,0.06,0.04,0.9,35.0,35.0,0.0,12.6
15062,Mukimo wa Njahi (Raw & Ripe Bananas),636,151,57.7,6.4,0.6,26.6,6.5,2.2,24.0,2.2,54,103,437,229.0,0.79,3.0,1.0,2.0,0.0,12.0,0.15,0.07,0.8,14.0,14.0,0.0,9.8
15063,Groundnut Sauce,1240,298,50.2,10.6,23.4,9.6,3.5,2.7,132.0,2.3,101,209,366,492.0,1.2,7.0,28.0,28.0,28.0,2.0,0.28,0.21,5.0,27.0,27.0,0.17,0.0
15064,Vimumunya vya Chumvi (Pumpkin & Coconut Milk),297,72,85.8,1.3,4.9,4.6,1.9,1.5,16.0,0.3,13,39,183,325.0,0.25,1.0,88.0,176.0,0.0,1060.0,0.05,0.05,0.6,22.0,22.0,0.0,5.5
15065,Vinolo (Banana and Maize Flour Ugali),524,124,68.4,2.2,0.9,25.5,2.5,0.6,9.0,1.2,22,68,147,9.0,1.16,0.0,16.0,16.0,16.0,1.0,0.12,0.08,0.9,,8.0,0.0,6.2
15066,Biryani rice,641,152,65.3,2.7,3.2,27.9,0.3,0.6,9.0,0.3,9,52,22,180.0,0.47,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.4,3.0,3.0,0.0,0.0
15067,Vimumunya vya Sukari (Sweetened Pumpkin & Coconut Milk),390,93,79.0,1.1,3.0,14.5,1.8,0.6,14.0,0.3,11,31,155,15.0,0.21,1.0,162.0,0.0,973.0,0.05,0.04,0.5,19.0,19.0,0.0,5.0,
15068,Wukunu (Sweet potatoes & Dehulled Black Beans),396,94,73.0,4.1,0.6,15.8,4.6,1.9,21.0,1.5,33,82,288,229.0,0.41,1.0,1.0,1.0,0.0,8.0,0.1,0.04,0.7,9.0,9.0,0.0,12.6
15069,Mushenye (Green Maize and Sweet Potatoes),641,153,60.4,7.1,4.1,17.6,8.6,2.1,44.0,2.3,51,196,340,242.0,1.07,3.0,1.0,3.0,0.0,16.0,0.15,0.07,1.6,50.0,50.0,0.0,5.9
15070,Ingokho (Stewed Chicken),883,211,59.7,18.3,12.3,6.4,1.1,2.3,21.0,2.7,23,211,210,482.0,1.01,16.0,63.0,74.0,53.0,125.0,0.11,0.13,5.1,14.0,14.0,0.38,18.4
15071,Malesele (Cow Blood with Sour Milk),1400,335,37.5,20.0,21.2,15.4,1.0,4.9,85.0,24.8,19,123,831,1070.0,1.85,29.0,,,106.0,,0.1,0.25,0.7,,,,
15072,Tsiswa (Stewed termites),2140,515,10.5,31.6,38.8,7.3,5.1,6.8,137.0,29.8,13,584,412,2280.0,0.41,5.0,95.0,96.0,94.0,10.0,0.05,3.15,2.9,4.0,4.0,0.25,1.3
15073,Ingokho (Fried Chicken),2220,532,6.8,44.6,35.3,9.1,0.0,4.3,31.0,5.6,38,492,410,932.0,2.13,39.0,134.0,134.0,134.0,0.0,0.18,0.25,12.3,13.0,13.0,0.97,2.3
15074,Wali wa Kuchemshwa (Boiled Rice),584,138,67.1,2.7,2.0,27.2,0.2,0.7,9.0,0.3,9,50,21,216.0,0.46,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.4,3.0,3.0,0.0,0.0
15075,Wali wa Yasmin (Onion Fried Rice),779,185,58.9,3.2,5.1,31.2,0.6,1.0,13.0,0.5,12,61,46,275.0,0.53,1.0,0.0,0.0,0.0,1.0,0.02,0.05,0.5,4.0,4.0,0.0,0.9
15076,Stir-fried Spinach,307,74,84.4,2.8,5.4,2.0,3.3,2.1,99.0,3.7,66,47,299,870.0,0.62,1.0,142.0,284.0,0.0,1700.0,0.02,0.08,0.5,70.0,70.0,0.0,16.9
15077,Thabai / Thaa (Stinging Nettle Leaves),143,34,92.3,1.2,2.4,1.9,0.6,1.8,132.0,1.4,28,26,113,312.0,0.14,1.0,0.0,1.0,0.0,4.0,0.01,0.06,0.2,62.0,62.0,0.0,1.0
15078,Rhikhuvi (Stewed Cowpea Leaves),630,152,74.1,3.2,13.3,3.5,3.2,2.8,146.0,1.3,23,49,202,660.0,0.53,1.0,32.0,52.0,12.0,239.0,0.19,0.22,0.7,31.0,31.0,0.15,12.6
15079,Kunde and Mrenda (Stewed Cowpeas and Jute Mallow leaves),238,57,83.5,3.7,2.0,4.4,3.3,3.1,158.0,2.4,23,93,244,761.0,0.64,2.0,147.0,21.0,757.0,0.1,0.29,0.4,38.0,38.0,0.28,13.1,
15080,Obwoba (Stewed Mushrooms in Peanut Butter),487,117,73.3,4.9,6.3,8.3,3.8,3.4,38.0,1.4,47,130,408,822.0,0.54,15.0,6.0,12.0,0.0,69.0,0.17,0.35,2.2,27.0,27.0,0.0,6.7
15081,Chai ya Maziwa (Mixed Tea),153,36,92.1,1.1,1.2,5.4,0.0,0.3,42.0,0.0,5,40,45,15.0,0.21,1.0,14.0,14.0,13.0,6.0,0.0,0.0,0.0,1.0,1.0,0.17,0.0
15082,Stewed Dried Fish,1380,330,42.7,25.7,23.2,3.9,1.4,3.0,189.0,2.1,57,395,403,572.0,1.02,29.0,0.0,0.0,57.0,124.0,0.05,0.03,3.3,0.0,19.0,1.52,10.4
15083,Kimanga cha Ndizi (Smoked Green Bananas and Kidney Beans),614,146,57.7,6.5,0.9,24.1,7.7,3.1,46.0,2.0,43,188,401,485.0,0.89,2.0,3.0,0.0,20.0,0.1,0.09,0.9,48.0,48.0,0.0,0.8,
15084,Kimanga Cha Mihogo (Mashed Cassava and Pigeon Peas),823,194,46.8,4.8,0.6,39.6,5.8,2.4,94.0,1.6,44,93,469,303.0,0.85,4.0,8.0,0.0,49.0,0.13,0.07,0.8,52.0,52.0,0.0,1.5,
15085,Ndoto (Sauteed Red Kidney Beans & Red Sorghum),806,193,56.4,5.7,7.9,21.3,7.0,1.9,25.0,1.8,53,162,211,270.0,0.89,6.0,1.0,0.0,3.0,0.08,0.05,1.0,35.0,35.0,0.0,0.4,
15086,Muthokoi (Dehulled Maize and Beans),677,161,62.7,5.0,5.9,19.8,4.6,2.0,27.0,1.3,25,120,185,325.0,0.59,1.0,0.0,0.0,0.0,2.0,0.07,0.04,0.4,31.0,31.0,0.0,0.4
15087,Beef Stew,756,181,65.7,17.7,10.4,3.8,0.8,1.7,12.0,11.2,27,257,264,315.0,3.48,18.0,14.0,21.0,7.0,89.0,0.01,0.2,3.3,7.0,7.0,1.16,7.7
15088,"Munono (Cow blood, beef, cow fat)",2270,549,23.9,19.5,50.3,4.6,0.0,1.8,10.0,16.6,19,203,245,286.0,3.19,23.0,,,34.0,,0.03,0.18,2.6,,,,
15089,Osarge Ogkole (Fresh blood and Fresh milk),340,81,82.5,6.1,3.1,7.0,0.0,1.2,101.0,4.7,11,105,161,148.0,0.79,8.0,,,49.0,,0.02,0.23,0.1,,,,
15090,Kimanga cha Viazi Vitamu (Mashed Sweet Potato & Black Beans),472,112,68.0,5.4,0.5,18.9,5.2,2.1,32.0,1.6,38,78,388,276.0,0.63,2.0,8.0,0.0,49.0,0.12,0.05,0.8,9.0,9.0,0.0,7.8,
15091,Kitojo (Sweet Potato Leaves),596,144,74.6,3.9,12.7,1.4,4.6,2.9,97.0,0.9,51,31,500,648.0,0.26,1.0,138.0,276.0,0.0,1653.0,0.07,0.26,0.9,2.0,2.0,0.0,8.1
15092,Mchuzi wa Mbaazi (Pigeon Peas Stew),494,118,70.9,5.7,4.4,11.0,6.1,1.9,47.0,1.4,33,69,260,281.0,0.74,4.0,8.0,16.0,0.0,93.0,0.13,0.03,0.5,47.0,47.0,0.0,2.9
15093,Nchenga/ Nzenga (Crushed Maize),542,129,69.5,2.2,3.9,20.3,1.8,2.2,13.0,0.3,11,22,85,552.0,0.16,0.0,87.0,173.0,0.0,1038.0,0.03,0.01,0.2,5.0,5.0,0.0,1.5
15094,Mseto wa Viazi (Potatoes in Rice),469,111,73.7,2.2,1.9,21.1,0.5,0.6,9.0,0.4,9,45,92,131.0,0.38,0.0,2.0,4.0,0.0,23.0,0.02,0.03,0.4,7.0,7.0,0.0,2.5
15095,Likhanga (Stewed Guinea Fowl),642,154,69.7,15.8,9.0,2.0,0.7,2.7,31.0,2.0,22,152,240,736.0,1.25,18.0,10.0,18.0,2.0,96.0,0.02,0.15,2.4,7.0,7.0,0.14,8.4
15096,Fried tilapia,1821,437,23.5,45.7,28.1,0.3,0.0,2.5,252.0,6.2,40,387,349,149.0,1.16,39.0,24.0,24.0,24.0,0.0,0.09,0.35,7.5,12.0,12.0,3.5,0.0
15097,Stewed Green Bananas,350,84,81.8,1.0,3.8,10.4,2.2,0.8,9.0,0.7,15,24,175,100.0,0.21,1.0,6.0,13.0,0.0,75.0,0.03,0.03,0.3,10.0,10.0,0.0,13.2
15098,Stir Fried Beef,1070,255,50.3,26.7,14.1,5.0,1.0,3.1,16.0,16.4,40,422,483,682.0,5.13,27.0,19.0,28.0,10.0,107.0,0.02,0.31,5.1,10.0,10.0,1.86,9.4
15099,Stir Fried Goat Meat,1600,383,30.2,32.1,23.3,10.4,1.7,2.3,33.0,4.1,50,424,465,221.0,5.74,43.0,42.0,60.0,24.0,214.0,0.2,0.33,5.4,14.0,14.0,2.84,18.7
15100,Finger Millet Ugali,505,120,65.1,2.9,0.7,21.0,8.9,1.4,137.0,4.4,61,72,212,3.0,0.67,6.0,0.0,0.0,0.0,1.0,0.06,0.01,1.6,26.0,26.0,0.0,0.0
15101,Omena wa Kukaangwa (Fried Omena),1860,450,32.8,19.2,39.3,4.6,0.8,3.4,879.0,2.3,33,782,281,90.0,5.28,7.0,55.0,69.0,41.0,171.0,0.11,0.17,5.4,22.0,22.0,16.78,10.9
15102,Aluru (Stewed Quails),809,195,65.9,11.3,14.2,5.2,0.6,2.9,90.0,1.6,23,202,302,761.0,1.24,9.0,51.0,58.0,44.0,80.0,0.06,0.36,2.7,9.0,9.0,0.61,7.9
15103,Mashed Potatoes,449,106,71.0,2.5,0.2,22.8,1.7,1.8,10.0,1.4,20,82,650,330.0,0.32,1.0,0.0,0.0,0.0,0.0,0.06,0.03,1.1,42.0,42.0,0.0,6.0
15104,Mashed Bananas,344,81,76.9,1.2,0.3,16.9,3.0,1.7,8.0,0.6,20,25,245,348.0,0.19,1.0,0.0,0.0,0.0,2.0,0.04,0.03,0.2,11.0,11.0,0.0,13.7
15105,Enriched Mashed Potatoes,591,141,70.4,2.0,6.2,18.6,1.4,1.4,10.0,1.1,16,67,529,209.0,0.26,1.0,51.0,54.0,48.0,38.0,0.05,0.03,0.9,34.0,34.0,0.0,4.9
15106,Enriched Mashed Bananas,568,136,72.9,1.0,7.8,14.3,2.6,1.5,8.0,0.5,17,22,207,276.0,0.16,1.0,63.0,67.0,59.0,48.0,0.03,0.03,0.2,9.0,9.0,0.01,11.6
15107,Stewed Nile Perch,522,125,74.0,14.3,6.3,2.5,0.5,2.4,105.0,1.0,26,216,203,596.0,0.51,16.0,16.0,22.0,10.0,68.0,0.01,0.01,1.6,9.0,9.0,0.86,5.2
15108,Stewed Goat Meat,925,222,59.4,17.1,14.6,5.2,0.8,2.9,16.0,2.1,25,225,235,783.0,3.04,23.0,21.0,29.0,13.0,94.0,0.11,0.17,2.9,8.0,8.0,1.52,8.2
15109,Pan Fried Sweet Potatoes,1040,248,51.7,3.1,13.9,25.3,4.9,1.2,44.0,0.8,21,50,325,16.0,0.73,1.0,796.0,1590.0,0.0,9550.0,0.04,0.07,1.2,11.0,11.0,0.0,35.2
15110,Potato Chips,1370,326,32.1,4.8,13.6,44.4,3.3,1.9,17.0,2.7,37,159,1260,13.0,0.63,1.0,0.0,0.0,0.0,0.0,0.11,0.07,2.3,82.0,82.0,0.0,12.0
15111,Kimito (Mashed Beans & Potatoes),537,127,64.1,5.7,0.8,21.6,5.4,2.3,35.0,2.2,36,173,557,359.0,0.77,2.0,0.0,0.0,0.0,1.0,0.09,0.06,1.0,58.0,58.0,0.0,3.4
15112,Arrowroot Stew,383,91,77.8,1.9,2.3,14.9,1.8,1.4,11.0,0.9,18,41,431,250.0,0.44,1.0,48.0,95.0,0.0,570.0,0.09,0.05,1.1,13.0,13.0,0.0,5.3
15113,Sweet Potatoes with Peanut Butter,373,89,81.1,2.2,4.4,9.3,2.2,0.9,23.0,0.7,21,33,179,130.0,0.42,1.0,263.0,526.0,0.0,3160.0,0.05,0.04,1.1,10.0,10.0,0.0,17.0
